notion_id;capacite_id;role
MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;ITM_MAT_2GT_2026_01_01;PRINCIPALE
MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;ITM_MAT_2GT_2026_01_02;PRINCIPALE
MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;ITM_MAT_2GT_2026_01_03;PRINCIPALE
MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;ITM_MAT_2GT_2026_01_04;PRINCIPALE
MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;ITM_MAT_2GT_2026_01_05;PRINCIPALE
MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;ITM_MAT_2GT_2026_03_01;PRINCIPALE
MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;ITM_MAT_2GT_2026_03_02;PRINCIPALE
MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;ITM_MAT_2GT_2026_03_03;PRINCIPALE
MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;ITM_MAT_2GT_2026_03_04;PRINCIPALE
MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;ITM_MAT_2GT_2026_03_05;PRINCIPALE
MAT_NOTION_DE_FONCTION;ITM_MAT_2GT_2026_04_01;PRINCIPALE
MAT_NOTION_DE_FONCTION;ITM_MAT_2GT_2026_04_02;PRINCIPALE
MAT_NOTION_DE_FONCTION;ITM_MAT_2GT_2026_04_03;PRINCIPALE
MAT_ARITHMETIQUE;ITM_MAT_2GT_2026_07_01;PRINCIPALE
MAT_ARITHMETIQUE;ITM_MAT_2GT_2026_07_02;PRINCIPALE
MAT_NOMBRES_REELS;ITM_MAT_2GT_2026_08_01;PRINCIPALE
MAT_NOMBRES_REELS;ITM_MAT_2GT_2026_08_02;PRINCIPALE
MAT_NOMBRES_REELS;ITM_MAT_2GT_2026_08_03;PRINCIPALE
MAT_CALC_LITT;ITM_MAT_2GT_2026_09_01;PRINCIPALE
MAT_CALC_LITT;ITM_MAT_2GT_2026_09_02;PRINCIPALE
MAT_EQ1;ITM_MAT_2GT_2026_09_02;PRINCIPALE
MAT_CALC_LITT;ITM_MAT_2GT_2026_09_03;PRINCIPALE
MAT_CALC_LITT;ITM_MAT_2GT_2026_09_04;PRINCIPALE
MAT_VECTEURS_ET_PROBLEMES_DE_GEOMETRIE;ITM_MAT_2GT_2026_11_01;PRINCIPALE
MAT_VECTEURS_ET_PROBLEMES_DE_GEOMETRIE;ITM_MAT_2GT_2026_11_02;PRINCIPALE
MAT_DROITES_DU_PLAN;ITM_MAT_2GT_2026_12_01;PRINCIPALE
MAT_DROITES_DU_PLAN;ITM_MAT_2GT_2026_12_02;PRINCIPALE
MAT_REPRESENTATION_ALGEBRIQUE_ET_GRAPHIQUE_DES_FONCTIONS;ITM_MAT_2GT_2026_14_01;PRINCIPALE
MAT_REPRESENTATION_ALGEBRIQUE_ET_GRAPHIQUE_DES_FONCTIONS;ITM_MAT_2GT_2026_14_02;PRINCIPALE
MAT_REPRESENTATION_ALGEBRIQUE_ET_GRAPHIQUE_DES_FONCTIONS;ITM_MAT_2GT_2026_14_03;PRINCIPALE
MAT_VARIATIONS_ET_EXTREMUMS_D_UNE_FONCTION;ITM_MAT_2GT_2026_15_01;PRINCIPALE
MAT_VARIATIONS_ET_EXTREMUMS_D_UNE_FONCTION;ITM_MAT_2GT_2026_15_02;PRINCIPALE
MAT_INFORMATION_CHIFFREE_ET_STATISTIQUE_DESCRIPTIVE;ITM_MAT_2GT_2026_17_01;PRINCIPALE
MAT_POURCENTAGE;ITM_MAT_2GT_2026_17_01;PRINCIPALE
MAT_INFORMATION_CHIFFREE_ET_STATISTIQUE_DESCRIPTIVE;ITM_MAT_2GT_2026_17_02;PRINCIPALE
MAT_INFORMATION_CHIFFREE_ET_STATISTIQUE_DESCRIPTIVE;ITM_MAT_2GT_2026_17_03;PRINCIPALE
MAT_CROISEMENT_DE_DEUX_VARIABLES_QUALITATIVES;ITM_MAT_2GT_2026_18_01;PRINCIPALE
MAT_CROISEMENT_DE_DEUX_VARIABLES_QUALITATIVES;ITM_MAT_2GT_2026_18_02;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_2GT_2026_19_01;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_2GT_2026_19_02;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_2GT_2026_19_03;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_2GT_2026_19_04;PRINCIPALE
MAT_NOMBRES_ENTIERS_ET_DECIMAUX;ITM_MAT_C3_6E_C01;PRINCIPALE
MAT_NOMBRES_ENTIERS_ET_DECIMAUX;ITM_MAT_C3_6E_C02;PRINCIPALE
MAT_NOMBRES_ENTIERS_ET_DECIMAUX;ITM_MAT_C3_6E_C03;PRINCIPALE
MAT_NOMBRES_ENTIERS_ET_DECIMAUX;ITM_MAT_C3_6E_C04;PRINCIPALE
MAT_FRACTION_SENS;ITM_MAT_C3_6E_C05;PRINCIPALE
MAT_FRACTION_SENS;ITM_MAT_C3_6E_C06;PRINCIPALE
MAT_FRACTION_QTE;ITM_MAT_C3_6E_C07;PRINCIPALE
MAT_FRACTION_SENS;ITM_MAT_C3_6E_C07;PRINCIPALE
MAT_FRACTION_SENS;ITM_MAT_C3_6E_C08;PRINCIPALE
MAT_FRACTION_ADD;ITM_MAT_C3_6E_C09;PRINCIPALE
MAT_FRACTION_SENS;ITM_MAT_C3_6E_C09;PRINCIPALE
MAT_FRACTION_SENS;ITM_MAT_C3_6E_C10;PRINCIPALE
MAT_FRACTION_SENS;ITM_MAT_C3_6E_C11;PRINCIPALE
MAT_POURCENTAGE;ITM_MAT_C3_6E_C11;PRINCIPALE
MAT_PREMIERS_RAISONNEMENTS_ALGEBRIQUES;ITM_MAT_C3_6E_C12;PRINCIPALE
MAT_PREMIERS_RAISONNEMENTS_ALGEBRIQUES;ITM_MAT_C3_6E_C13;PRINCIPALE
MAT_LONGUEURS_ET_PERIMETRES;ITM_MAT_C3_6E_C14;PRINCIPALE
MAT_LONGUEURS_ET_PERIMETRES;ITM_MAT_C3_6E_C15;PRINCIPALE
MAT_LONGUEURS_ET_PERIMETRES;ITM_MAT_C3_6E_C16;PRINCIPALE
