programme_id;discipline_id;cycle_id;niveau_id;date_publication;source_id
PRG_FRA_C4_2026;FRA;C4;;2026-03-05;SRC_BO_2026_10_MENE2602912A
PRG_MAT_C4_2026;MAT;C4;;2026-03-05;SRC_BO_2026_10_MENE2602912A
PRG_LVE_COLLEGE_2025;LVE;;;2025-05-29;SRC_BO_2025_22_MENE2504621A
PRG_LVR_COLLEGE_2026;LVR;;;2026-05-21;SRC_BO_2026_21_MENE2602909A
PRG_HG_C3_2026;HG;C3;;2026-05-28;SRC_BO_2026_22_MENE2608631A
PRG_EPS_C3_2026;EPS;C3;;2026-05-28;SRC_BO_2026_22_MENE2608631A
PRG_SCI_C3_2026;SCI;C3;;2026-06-11;SRC_BO_2026_24_MENE2611650A
PRG_MAT_C3_2025;MAT;C3;;2025-04-17;SRC_BO_2025_16_MATH_C3
PRG_EVARS_COLLEGE_2025;EVARS;;;2025-02-06;SRC_BO_2025_06_MENE2503064A
PRG_SCI_C3_2023;SCI;C3;;2023-06-22;SRC_BO_2023_25_MENE2314101A
PRG_ARTS_PLAST_C4_2020;ARTS_PLAST;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_EDUC_MUS_C4_2020;MUS;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_EPS_C4_2020;EPS;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_HG_C4_2020;HG;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_EMC_C4_2020;EMC;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_PC_C4_2020;PC;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_SVT_C4_2020;SVT;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_LCA_C4_2020;LCA;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_EMI_C4_2020;EMI;C4;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_HDA_COLLEGE_2020;HDA;;;2020-07-30;SRC_BO_2020_31_C4_PROGRAMMES
PRG_TECH_C4_2024;TECH;C4;;2024-02-29;SRC_BO_2024_09_TECH
PRG_MAT_2GT_2026;MAT;;2GT;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MATH_SCI_1G_2026;MAT;;1G;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MAT_SPEC_1G_2026;MAT;;1G;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MAT_TERM_G_2026;MAT;;TG;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MAT_COMP_2026;MAT;;TG;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MAT_EXP_2026;MAT;;TG;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MAT_1T_2026;MAT;;1T;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MAT_TT_2026;MAT;;TT;2026-02-26;SRC_BO_2026_14_MATH_LYCEE
PRG_MAT_TERM_G_2019;MAT;;TG;2019-07-25;SRC_BO_2019_08_MATH_OPTIONS
PRG_MAT_COMP_2019;MAT;;TG;2019-07-25;SRC_BO_2019_08_MATH_OPTIONS
PRG_MAT_EXP_2019;MAT;;TG;2019-07-25;SRC_BO_2019_08_MATH_OPTIONS
PRG_MAT_TT_2019;MAT;;TT;2019-07-25;SRC_BO_2019_08_MATH_OPTIONS
