erreur_id;concept_id;libelle;description;remediation;niveau_id
MATE_SUITE_INDEX;MATC_SUITE_GEOM;Décaler l’indice du terme initial;Utiliser q^n sans tenir compte de l’indice du terme connu.;Écrire d’abord u_n = u_p q^(n-p).;1G
MATE_SUITE_RECUR;MATC_SUITE;Confondre explicite et récurrence;Calculer u_n en remplaçant n dans une relation qui dépend de u_n.;Identifier le type de définition avant tout calcul.;1G
MATE_SECOND_FORME;MATC_SECOND_DEGRE;Développer systématiquement;Perdre une information visible dans une forme factorisée ou canonique.;Associer chaque forme aux informations qu’elle rend immédiatement accessibles.;1G
MATE_DELTA_AUTO;MATC_DISCRIMINANT;Utiliser systématiquement le discriminant;Employer les formules générales alors qu’une factorisation immédiate suffit.;Chercher d’abord structure, racine évidente ou identité remarquable.;1G
MATE_SECANTE_TANGENTE;MATC_NOMBRE_DERIVE;Confondre sécante et tangente;Prendre un taux de variation sur un intervalle pour un nombre dérivé.;Faire distinguer variation moyenne et comportement local.;1G
MATE_DERIVEE_OBJET;MATC_FONCTION_DERIVEE;Confondre f’(a) et f’;Donner un nombre lorsqu’une fonction dérivée est demandée, ou inversement.;Identifier explicitement si l’objet demandé est local ou global.;1G
MATE_VARIATION_SIGNE;MATC_VARIATIONS_DERIVEE;Confondre signe de f et signe de f’;Déduire les variations de f à partir du signe de f.;Verbaliser : le signe de f’ renseigne sur les variations de f.;1G
MATE_EXP_ADD;MATC_EXPONENTIELLE;Distribuer l’exponentielle sur une somme;Écrire exp(x+y)=exp(x)+exp(y).;Revenir à l’équation fonctionnelle multiplicative.;1G
MATE_PS_NORMES;MATC_PRODUIT_SCALAIRE;Confondre produit scalaire et produit des normes;Écrire u.v=||u||||v|| sans facteur cosinus.;Choisir explicitement la formule adaptée aux données.;1G
MATE_NORMAL_DIRECTEUR;MATC_VECTEUR_NORMAL;Confondre vecteur normal et directeur;Utiliser (a,b) comme vecteur directeur de ax+by+c=0.;Vérifier l’orthogonalité avec un vecteur directeur.;1G
MATE_COND_SENS;MATC_PROBA_CONDITIONNELLE;Inverser condition et événement;Confondre P_A(B) et P_B(A).;Lire la notation en phrase avant de calculer.;1G
MATE_INDEP_INCOMP;MATC_INDEPENDANCE;Confondre indépendance et incompatibilité;Croire que deux événements disjoints sont indépendants.;Comparer P(A inter B) et P(A)P(B).;1G
MATE_VA_ISSUE;MATC_VARIABLE_ALEATOIRE;Confondre issue et valeur de la variable;Attribuer directement les probabilités aux valeurs sans regrouper les issues.;Construire d’abord la fonction X puis agréger les probabilités.;1G
MATE_VARIANCE_UNITE;MATC_VARIANCE;Interpréter la variance dans l’unité de X;Oublier que la variance est exprimée dans l’unité au carré.;Utiliser l’écart type pour une dispersion dans l’unité de X.;1G
MATE_TAUX_ORDRE;MATC_TAUX_VARIATION;Inverser un seul des deux écarts;Écrire f(b)-f(a) au numérateur mais a-b au dénominateur.;Conserver le même ordre des points au numérateur et au dénominateur.;1G
MATE_TANGENTE_POINT;MATC_TANGENTE;Oublier que la tangente passe par le point de contact;Écrire y=f’(a)x sans imposer le passage par (a,f(a)).;Vérifier systématiquement que l’équation obtenue est satisfaite par (a,f(a)).;1G
MATE_DERIVEE_CUBE;MATC_FONCTION_DERIVEE;Mal dériver la fonction cube;Écrire par exemple (x^3)’=3x ou x^2.;Associer explicitement x^2 à 2x et x^3 à 3x^2 avant la linéarité.;1G
MATE_DERIVEE_SOMME;MATC_FONCTION_DERIVEE;Dériver une somme terme à terme avec des erreurs de coefficients;Perdre un coefficient ou un terme constant lors de la dérivation d’un polynôme.;Décomposer le polynôme et annoter la dérivée de chaque terme.;1G
MATE_EXTREMUM_ZERO;MATC_EXTREMUM;Conclure à un extremum dès que f’(a)=0;Considérer f’(a)=0 comme une condition suffisante sans étudier le signe de f’.;Examiner les variations ou le changement de signe de f’ autour de a.;1G
MATE_DERIVEE_UNITES;MATC_NOMBRE_DERIVE;Oublier les unités de la dérivée;Donner une valeur de vitesse instantanée ou de coût marginal sans unité cohérente.;Former le quotient unité de f / unité de x avant l’interprétation.;1G
MATE_APPROX_LOIN;MATC_APPROX_LINEAIRE;Utiliser l’approximation linéaire trop loin du point;Traiter l’égalité approchée comme une identité valable pour tout h.;Rappeler le caractère local de l’approximation et identifier le point autour duquel elle est construite.;1G
MATE_SUITE_POINT_CONTINU;MATC_REPRESENTATION_SUITE;Relier les points d’une suite comme une courbe continue;Tracer une courbe continue et attribuer à la suite des valeurs entre deux rangs entiers.;Conserver le nuage de points (n,u_n) et rappeler que le rang est entier.;1G
MATE_SUITE_INITIALE;MATC_SUITE_RECURRENTE;Oublier la donnée initiale d’une récurrence;Donner seulement u_(n+1)=f(u_n), ce qui ne détermine pas une suite unique.;Toujours associer la relation de récurrence à un terme initial.;1G
MATE_ARITH_GEOM;MATC_MODELE_DISCRET;Confondre accroissement constant et taux constant;Choisir une suite arithmétique pour une évolution en pourcentage fixe ou une suite géométrique pour un ajout fixe.;Comparer différence et quotient de deux étapes successives et interpréter les unités.;1G
MATE_ARITH_SOMME_NB;MATC_SOMME_ARITH;Mal compter le nombre de termes d’une somme;Utiliser n au lieu de n-p+1 pour une somme allant de u_p à u_n.;Écrire les premiers et derniers indices puis calculer dernier - premier + 1.;1G
MATE_GEOM_SOMME_EXP;MATC_SOMME_GEOM;Décaler l’exposant dans une somme géométrique;Confondre le rang du dernier terme et le nombre de termes dans la formule de somme.;Factoriser par le premier terme et compter explicitement les puissances de q.;1G
MATE_TAUX_COEFF;MATC_CROISSANCE_EXP_DISCRETE;Confondre taux et coefficient multiplicateur;Utiliser 5 au lieu de 1,05 pour une hausse de 5 %, ou 0,95 au lieu de -5 %.;Convertir le pourcentage en taux décimal t puis calculer q=1+t.;1G
MATE_SEUIL_PREMIER;MATC_SEUIL_SUITE;Trouver un rang satisfaisant sans vérifier qu’il est le premier;S’arrêter dès qu’un calcul donne une valeur au-delà du seuil sans contrôler le rang précédent.;Vérifier la condition au rang trouvé et son échec au rang précédent.;1G
