type_exercice_id;methode_id;role
MATX_DERIVEE_TANGENTE;MATM_DERIVEE_LOCAL;MOBILISE
MATX_DERIVEE_TANGENTE;MATM_TANGENTE_EQ;MOBILISE
MATX_DERIVEE_VARIATIONS;MATM_DERIVEE_CALCUL;MOBILISE
MATX_DERIVEE_VARIATIONS;MATM_VARIATIONS;MOBILISE
MATX_DERIVEE_VARIATIONS;MATM_VARIATIONS_TABLEAU;MOBILISE
MATX_OPTIMISATION;MATM_OPTIMISATION;MOBILISE
MATX_OPTIMISATION;MATM_EXTREMUM_DERIVEE;MOBILISE
MATX_DERIVEE_SECANTE;MATM_TAUX_CALCUL;MOBILISE
MATX_DERIVEE_SECANTE;MATM_SECANTE_PENTE;MOBILISE
MATX_DERIVEE_LECTURE;MATM_DERIVEE_GRAPHIQUE;MOBILISE
MATX_DERIVEE_LECTURE;MATM_DERIVEE_LOCAL;MOBILISE
MATX_DERIVEE_POLYNOME;MATM_DERIVEE_POLYNOME;MOBILISE
MATX_TANGENTE_EQUATION;MATM_TANGENTE_EQ;MOBILISE
MATX_DERIVEE_VITESSE;MATM_DERIVEE_LOCAL;MOBILISE
MATX_DERIVEE_VITESSE;MATM_DERIVEE_UNITES;MOBILISE
MATX_DERIVEE_PARAMETRE;MATM_TANGENTE_EQ;MOBILISE
MATX_DERIVEE_PARAMETRE;MATM_DERIVEE_CALCUL;MOBILISE
MATX_DERIVEE_EXTREMUM;MATM_EXTREMUM_DERIVEE;MOBILISE
MATX_DERIVEE_EXTREMUM;MATM_VARIATIONS_TABLEAU;MOBILISE
MATX_DERIVEE_APPROX;MATM_APPROX_LINEAIRE;MOBILISE
MATX_SUITE_MODELE;MATM_SUITE_MODELE;MOBILISE
MATX_SUITE_SEUIL;MATM_SUITE_SEUIL;MOBILISE
MATX_SUITE_GENERATION;MATM_SUITE_IDENTIFIER_GENERATION;MOBILISE
MATX_SUITE_GENERATION;MATM_SUITE_EXPLICITE_RECUR;MOBILISE
MATX_SUITE_MOTIF;MATM_SUITE_MOTIF;MOBILISE
MATX_SUITE_MOTIF;MATM_SUITE_EXPLICITE_RECUR;MOBILISE
MATX_SUITE_GRAPH;MATM_SUITE_GRAPH;MOBILISE
MATX_ARITH_TERME;MATM_ARITH_TERME;MOBILISE
MATX_ARITH_SOMME;MATM_ARITH_SOMME;MOBILISE
MATX_GEOM_TERME;MATM_GEOM_TERME;MOBILISE
MATX_GEOM_SOMME;MATM_GEOM_SOMME;MOBILISE
MATX_SUITE_VARIATIONS;MATM_SUITE_VARIATION_ARITH;MOBILISE
MATX_SUITE_VARIATIONS;MATM_SUITE_VARIATION_GEOM;MOBILISE
MATX_SUITE_CROISSANCE_COMPAREE;MATM_SUITE_MODELE_LINEAIRE;MOBILISE
MATX_SUITE_CROISSANCE_COMPAREE;MATM_SUITE_MODELE_EXP;MOBILISE
MATX_SUITE_SEUIL_ALGO;MATM_SUITE_SEUIL;MOBILISE
MATX_SUITE_LIMITE_INTUITIVE;MATM_SUITE_LIMITE_CONJECTURE;MOBILISE
MATX_SUITE_EXPO_PONT;MATM_SUITE_MODELE_EXP;MOBILISE
MATX_SECOND_CHOIX_FORME;MATM_SECOND_CHOIX_FORME;CENTRAL
MATX_SECOND_SIGNE;MATM_SECOND_SIGNE;CENTRAL
MATX_SECOND_PARABOLE;MATM_SECOND_SOMMET;CENTRAL
MATX_SECOND_PROBLEME;MATM_SECOND_CHOIX_FORME;MOBILISE
MATX_SECOND_PROBLEME;MATM_SECOND_RESOLUTION;MOBILISE
MATX_PS_COORD;MATM_PS_COORD;CENTRAL
MATX_PS_ORTHO;MATM_PS_ORTHOGONALITE;CENTRAL
MATX_PS_ANGLE;MATM_PS_ANGLE;CENTRAL
MATX_PS_NORMAL;MATM_PS_NORMAL;CENTRAL
MATX_PROBA_TABLEAU;MATM_PROBA_COND_TABLEAU;CENTRAL
MATX_PROBA_ARBRE;MATM_PROBA_ARBRE_CONSTRUIRE;CENTRAL
MATX_PROBA_ARBRE;MATM_PROBA_ARBRE_CALCUL;MOBILISE
MATX_PROBA_ARBRE;MATM_PROBA_TOTALE;MOBILISE
MATX_PROBA_INDEP;MATM_PROBA_INDEP_TEST;CENTRAL
MATX_PROBA_INVERSE;MATM_PROBA_ARBRE_CALCUL;MOBILISE
MATX_PROBA_INVERSE;MATM_PROBA_TOTALE;MOBILISE
MATX_VA_LOI;MATM_VA_LOI;CENTRAL
MATX_VA_INDICATEURS;MATM_VA_ESPERANCE;CENTRAL
MATX_VA_INDICATEURS;MATM_VA_VARIANCE;MOBILISE
MATX_VA_JEU;MATM_VA_LOI;MOBILISE
MATX_VA_JEU;MATM_VA_ESPERANCE;CENTRAL
