concept_id;item_id;role
MATC_SUITE;ITM_MAT_SPEC_1G_2026_11;CENTRAL
MATC_SUITE_ARITH;ITM_MAT_SPEC_1G_2026_11_02;CENTRAL
MATC_SUITE_GEOM;ITM_MAT_SPEC_1G_2026_11_03;CENTRAL
MATC_LIMITE_SUITE_INTUITIVE;ITM_MAT_SPEC_1G_2026_11_06;CENTRAL
MATC_SECOND_DEGRE;ITM_MAT_SPEC_1G_2026_12;CENTRAL
MATC_FORME_CANONIQUE;ITM_MAT_SPEC_1G_2026_12_02;CENTRAL
MATC_DISCRIMINANT;ITM_MAT_SPEC_1G_2026_12;CENTRAL
MATC_TAUX_VARIATION;ITM_MAT_SPEC_1G_2026_14_01;CENTRAL
MATC_NOMBRE_DERIVE;ITM_MAT_SPEC_1G_2026_14_02;CENTRAL
MATC_TANGENTE;ITM_MAT_SPEC_1G_2026_14_03;CENTRAL
MATC_APPROX_LINEAIRE;ITM_MAT_SPEC_1G_2026_14_04;CENTRAL
MATC_FONCTION_DERIVEE;ITM_MAT_SPEC_1G_2026_14_05;CENTRAL
MATC_VARIATIONS_DERIVEE;ITM_MAT_SPEC_1G_2026_15;CENTRAL
MATC_EXPONENTIELLE;ITM_MAT_SPEC_1G_2026_16;CENTRAL
MATC_CERCLE_TRIGO;ITM_MAT_SPEC_1G_2026_17_01;CENTRAL
MATC_SINUS_COSINUS;ITM_MAT_SPEC_1G_2026_17_02;CENTRAL
MATC_PRODUIT_SCALAIRE;ITM_MAT_SPEC_1G_2026_19_01;CENTRAL
MATC_ORTHOGONALITE;ITM_MAT_SPEC_1G_2026_19_02;CENTRAL
MATC_VECTEUR_NORMAL;ITM_MAT_SPEC_1G_2026_20;CENTRAL
MATC_PROJECTION_ORTHO;ITM_MAT_SPEC_1G_2026_20_01;CENTRAL
MATC_EQUATION_CERCLE;ITM_MAT_SPEC_1G_2026_20_01;CENTRAL
MATC_PROBA_CONDITIONNELLE;ITM_MAT_SPEC_1G_2026_22_01;CENTRAL
MATC_INDEPENDANCE;ITM_MAT_SPEC_1G_2026_22_02;CENTRAL
MATC_PROBA_TOTALES;ITM_MAT_SPEC_1G_2026_22;CENTRAL
MATC_BERNOULLI_REPETITION;ITM_MAT_SPEC_1G_2026_22;CENTRAL
MATC_VARIABLE_ALEATOIRE;ITM_MAT_SPEC_1G_2026_23;CENTRAL
MATC_LOI_VARIABLE;ITM_MAT_SPEC_1G_2026_23_01;CENTRAL
MATC_ESPERANCE;ITM_MAT_SPEC_1G_2026_23_02;CENTRAL
MATC_VARIANCE;ITM_MAT_SPEC_1G_2026_23_02;CENTRAL
MATC_ECART_TYPE;ITM_MAT_SPEC_1G_2026_23_02;CENTRAL
MATC_SIMULATION;ITM_MAT_SPEC_1G_2026_24_01;CENTRAL
MATC_COEFF_DIRECTEUR;ITM_MAT_2GT_2026_12_02;PREREQUIS
MATC_COEFF_DIRECTEUR;ITM_MAT_SPEC_1G_2026_07_04;PREREQUIS
MATC_SECANTE;ITM_MAT_SPEC_1G_2026_14_01;CENTRAL
MATC_DERIVABILITE_POINT;ITM_MAT_SPEC_1G_2026_14_02;CENTRAL
MATC_EXTREMUM;ITM_MAT_SPEC_1G_2026_15;CENTRAL
MATC_MODELE_DISCRET;ITM_MAT_SPEC_1G_2026_11_05;CENTRAL
MATC_MODE_GENERATION_SUITE;ITM_MAT_SPEC_1G_2026_11_01;CENTRAL
MATC_SUITE_EXPLICITE;ITM_MAT_SPEC_1G_2026_11_01;MOBILISE
MATC_SUITE_RECURRENTE;ITM_MAT_SPEC_1G_2026_11_01;MOBILISE
MATC_REPRESENTATION_SUITE;ITM_MAT_SPEC_1G_2026_11_01;MOBILISE
MATC_TERME_GENERAL_SUITE;ITM_MAT_SPEC_1G_2026_11_01;MOBILISE
MATC_RAISON_ARITH;ITM_MAT_SPEC_1G_2026_11_02;MOBILISE
MATC_RAISON_GEOM;ITM_MAT_SPEC_1G_2026_11_03;MOBILISE
MATC_VARIATION_SUITE;ITM_MAT_SPEC_1G_2026_11_04;CENTRAL
MATC_SOMME_ARITH;ITM_MAT_SPEC_1G_2026_11_02;MOBILISE
MATC_SOMME_GEOM;ITM_MAT_SPEC_1G_2026_11_03;MOBILISE
MATC_CROISSANCE_LINEAIRE_DISCRETE;ITM_MAT_SPEC_1G_2026_11_05;CENTRAL
MATC_CROISSANCE_EXP_DISCRETE;ITM_MAT_SPEC_1G_2026_11_05;CENTRAL
MATC_SEUIL_SUITE;ITM_MAT_SPEC_1G_2026_11_06;MOBILISE
MATC_FORME_DEVELOPPEE;ITM_MAT_SPEC_1G_2026_12_04;MOBILISE
MATC_FORME_FACTORISEE;ITM_MAT_SPEC_1G_2026_12_03;CENTRAL
MATC_RACINE_TRINOME;ITM_MAT_SPEC_1G_2026_12_03;MOBILISE
MATC_SIGNE_TRINOME;ITM_MAT_SPEC_1G_2026_12_01;CENTRAL
MATC_EQUATION_SECOND_DEGRE;ITM_MAT_SPEC_1G_2026_12;CENTRAL
MATC_PARABOLE;ITM_MAT_SPEC_1G_2026_12;MOBILISE
MATC_SOMMET_PARABOLE;ITM_MAT_SPEC_1G_2026_12_02;MOBILISE
MATC_NORME_VECTEUR;ITM_MAT_SPEC_1G_2026_19_01;MOBILISE
MATC_ANGLE_VECTEURS;ITM_MAT_SPEC_1G_2026_19_01;MOBILISE
MATC_INTERSECTION_EVENEMENTS;ITM_MAT_SPEC_1G_2026_22_01;MOBILISE
MATC_TABLEAU_PROBA;ITM_MAT_SPEC_1G_2026_22_01;MOBILISE
MATC_ARBRE_PROBA;ITM_MAT_SPEC_1G_2026_22_01;MOBILISE
