formule_id;concept_id;libelle;expression;conditions;niveau_id
MATF_ARITH_TERME;MATC_SUITE_ARITH;Terme général d’une suite arithmétique;u_n = u_p + (n-p)r;Suite arithmétique de raison r.;1G
MATF_GEOM_TERME;MATC_SUITE_GEOM;Terme général d’une suite géométrique;u_n = u_p q^(n-p);Suite géométrique de raison q.;1G
MATF_GEOM_SOMME;MATC_SUITE_GEOM;Somme géométrique;1 + q + ... + q^n = (1-q^(n+1))/(1-q);q différent de 1.;1G
MATF_DISCRIMINANT;MATC_DISCRIMINANT;Discriminant;Delta = b^2 - 4ac;Pour ax^2+bx+c avec a non nul.;1G
MATF_TANGENTE;MATC_TANGENTE;Équation de tangente;y = f(a) + f’(a)(x-a);f dérivable en a.;1G
MATF_APPROX;MATC_APPROX_LINEAIRE;Approximation linéaire;f(a+h) ~= f(a) + f’(a)h;h proche de 0 et f dérivable en a.;1G
MATF_EXP_ADD;MATC_EXPONENTIELLE;Équation fonctionnelle;exp(x+y) = exp(x) exp(y);x et y réels.;1G
MATF_PS_COS;MATC_PRODUIT_SCALAIRE;Produit scalaire et angle;u.v = ||u|| ||v|| cos(theta);Vecteurs non nuls pour interpréter theta.;1G
MATF_PS_COORD;MATC_PRODUIT_SCALAIRE;Produit scalaire en coordonnées;u.v = x_u x_v + y_u y_v;Repère orthonormé.;1G
MATF_PROBA_COND;MATC_PROBA_CONDITIONNELLE;Probabilité conditionnelle;P_A(B) = P(A inter B) / P(A);P(A) non nulle.;1G
MATF_INDEP;MATC_INDEPENDANCE;Critère d’indépendance;P(A inter B) = P(A) P(B);Événements A et B.;1G
MATF_ESPERANCE;MATC_ESPERANCE;Espérance discrète;E(X) = somme x_i p_i;Loi finie.;1G
MATF_VARIANCE;MATC_VARIANCE;Formule de König-Huygens;V(X) = E(X^2) - E(X)^2;Variable aléatoire réelle finie.;1G
MATF_ECART_TYPE;MATC_ECART_TYPE;Écart type;sigma(X) = sqrt(V(X));Variance définie.;1G
MATF_TAUX_VAR;MATC_TAUX_VARIATION;Taux de variation entre a et b;(f(b)-f(a))/(b-a);a et b distincts et appartenant au domaine de f.;1G
MATF_TAUX_LOCAL;MATC_NOMBRE_DERIVE;Taux de variation local;(f(a+h)-f(a))/h;"h non nul ; on étudie son comportement lorsque h tend vers 0.";1G
MATF_D_CONST;MATC_FONCTION_DERIVEE;Dérivée d’une constante;(k)’ = 0;k réel.;1G
MATF_D_ID;MATC_FONCTION_DERIVEE;Dérivée de la fonction identité;(x)’ = 1;Sur R.;1G
MATF_D_X2;MATC_FONCTION_DERIVEE;Dérivée de la fonction carré;(x^2)’ = 2x;Sur R.;1G
MATF_D_X3;MATC_FONCTION_DERIVEE;Dérivée de la fonction cube;(x^3)’ = 3x^2;Sur R.;1G
MATF_D_SOMME;MATC_FONCTION_DERIVEE;Dérivée d’une somme;(f+g)’ = f’ + g’;f et g dérivables sur l’intervalle considéré.;1G
MATF_D_SCALAIRE;MATC_FONCTION_DERIVEE;Dérivée d’un multiple;(kf)’ = k f’;k réel et f dérivable.;1G
